Prov,Kab,Kec
14,14.09,14.09.03
14,14.09,14.09.04
14,14.09,14.09.05
14,14.09,14.09.06
14,14.09,14.09.07
14,14.09,14.09.08
14,14.09,14.09.09
14,14.09,14.09.10
14,14.09,14.09.11
14,14.09,14.09.12
14,14.09,14.09.13
14,14.09,14.09.14
14,14.09,14.09.15
14,14.10,14.10.01
14,14.10,14.10.02
14,14.10,14.10.03
14,14.10,14.10.04
14,14.10,14.10.05
14,14.10,14.10.06
14,14.10,14.10.07
14,14.10,14.10.08
14,14.10,14.10.09
14,14.71,14.71.01
14,14.71,14.71.02
14,14.71,14.71.03
14,14.71,14.71.04
14,14.71,14.71.05
14,14.71,14.71.06
14,14.71,14.71.07
14,14.71,14.71.08
14,14.71,14.71.09
14,14.71,14.71.10
14,14.71,14.71.11
14,14.71,14.71.12
14,14.72,14.72.01
14,14.72,14.72.02
14,14.72,14.72.03
14,14.72,14.72.04
14,14.72,14.72.05
14,14.72,14.72.06
14,14.72,14.72.07
15,15.01,15.01.01
15,15.01,15.01.02
15,15.01,15.01.04
15,15.01,15.01.05
15,15.01,15.01.06
15,15.01,15.01.07
15,15.01,15.01.08
15,15.01,15.01.09
15,15.01,15.01.11
15,15.01,15.01.15
15,15.01,15.01.16
15,15.01,15.01.17
15,15.01,15.01.18
15,15.01,15.01.19
15,15.01,15.01.20
15,15.01,15.01.21
15,15.02,15.02.01
15,15.02,15.02.02
15,15.02,15.02.03
15,15.02,15.02.04
15,15.02,15.02.05
15,15.02,15.02.06
15,15.02,15.02.07
15,15.02,15.02.08
15,15.02,15.02.09
15,15.02,15.02.10
15,15.02,15.02.11
15,15.02,15.02.12
15,15.02,15.02.13
15,15.02,15.02.14
15,15.02,15.02.15
15,15.02,15.02.16
15,15.02,15.02.17
15,15.02,15.02.18
15,15.02,15.02.19
15,15.02,15.02.20
15,15.02,15.02.21
15,15.02,15.02.22
15,15.02,15.02.23
15,15.02,15.02.24
15,15.03,15.03.01
15,15.03,15.03.02
15,15.03,15.03.03
15,15.03,15.03.04
15,15.03,15.03.05
15,15.03,15.03.06
15,15.03,15.03.07
15,15.03,15.03.08
15,15.03,15.03.09
15,15.03,15.03.10
15,15.04,15.04.01
15,15.04,15.04.02
15,15.04,15.04.03
15,15.04,15.04.04
15,15.04,15.04.05
15,15.04,15.04.06
15,15.04,15.04.07
15,15.04,15.04.08
15,15.05,15.05.01
15,15.05,15.05.02
15,15.05,15.05.03
15,15.05,15.05.04
15,15.05,15.05.05
15,15.05,15.05.06
15,15.05,15.05.07
15,15.05,15.05.08
15,15.05,15.05.09
15,15.05,15.05.10
15,15.05,15.05.11
15,15.06,15.06.01
15,15.06,15.06.02
15,15.06,15.06.03
15,15.06,15.06.04
15,15.06,15.06.05
